PMAID,the_geom,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,SPORTCOURT,NAME,SPORT_TYPE,COURT_ID,FACILITY_I,FACILITY_N,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_I,ORIG_FID
310,POINT (-122.40493857911733 47.656820082743955),6537.27067492,349.98809223,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,160
399,POINT (-122.31760943100574 47.6316148957567),6598.6157163,351.35154539,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,168
331,POINT (-122.35869495987112 47.64479539261291),6265.9679878,346.96864333,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,169
399,POINT (-122.3181289802073 47.631941348828946),6590.47004299,351.21669237,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,176
114,POINT (-122.30830316434698 47.57012591054102),6351.45669959,346.59675279,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,196
428,POINT (-122.25770650271694 47.54806470550071),7470.0815919,365.28343973,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,209
402,POINT (-122.28301693173916 47.54792183650229),6397.74769737,347.70589873,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,213
3881,POINT (-122.31705488007317 47.6908940633783),1949.8968031,185.23404118,06/10/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,252
461,POINT (-122.3970977279458 47.540397760110686),7606.09317131,351.543177,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,4
438,POINT (-122.30822529410062 47.705869730337774),5149.59568939,307.63557892,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,9
488,POINT (-122.30483673797266 47.676415151089586),7674.62480671,369.48392555,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,10
488,POINT (-122.30450850012572 47.67667236187775),1319.46335158,143.44500757,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,11
449,POINT (-122.33652363183415 47.65824975266771),7224.64918556,358.0685446,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,15
307,POINT (-122.34260195901884 47.68131822886894),6629.14736627,355.0314048,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,111
292,POINT (-122.34307785465413 47.66532100524279),6440.53551435,349.89525607,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,120
242,POINT (-122.37034678418806 47.666957459648614),6508.79988726,350.1218102,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,166
317,POINT (-122.39740994007505 47.635602096643524),6348.9456112,347.25940499,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,171
331,POINT (-122.35890125103904 47.64479548960697),6170.2493434,345.56317596,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,174
371,POINT (-122.28998775346817 47.61139306494176),6193.7086515,332.07701435,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,180
426,POINT (-122.29679426708667 47.584979764398035),6654.10384407,351.45313828,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,182
426,POINT (-122.29701784146084 47.584980616163485),6644.65229913,351.29628124,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,183
426,POINT (-122.2970150484523 47.58531651243742),6644.65230018,351.29628127,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,185
419,POINT (-122.28841589789272 47.579576633235995),6354.64263466,345.35687207,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,192
114,POINT (-122.30847657497516 47.57053271297869),6360.34426932,346.34327846,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,194
456,POINT (-122.38540694586081 47.578949294639095),6172.03072827,344.5623934,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,201
4453,POINT (-122.39152248935453 47.536262852042725),6327.20291306,347.55232105,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,234
408,POINT (-122.29502874945446 47.55222240482524),6143.17041658,342.42335602,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,235
319,POINT (-122.4002200954347 47.64110344669608),6598.94700934,352.81201462,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,237
423,POINT (-122.28727048358952 47.5624495759862),6452.42817693,347.69043891,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,242
482,POINT (-122.2840923157419 47.67508236175221),6384.95709264,344.65125907,04/01/2015 12:00:00 AM +0000,0,,Tennis,,,,,,,,,248
