element_key,latitude,longitude
10278,47.65020149200295,-122.35119585993851
10281,47.6509667237713,-122.35141372735801
10282,47.650961144582,-122.351185778033
10797,47.6220633457094,-122.333494755477
10801,47.6220493229163,-122.33112124855501
10869,47.622151848173004,-122.341611102921
10870,47.621960966248494,-122.34191158422101
10873,47.6221371512235,-122.340594454525
10874,47.62195672141301,-122.34072339324702
10877,47.6123583490199,-122.321892686053
10886,47.615798684258,-122.322021589774
11018,47.6104336363894,-122.330666296187
11105,47.6021567878294,-122.33308300711401
11106,47.6019603137568,-122.333136488839
11118,47.602674433659146,-122.3290450672215
11126,47.6054605773233,-122.322439106262
11129,47.6198403801496,-122.35341060391501
11130,47.61967891255645,-122.3534868111825
11133,47.61981527760759,-122.348131248806
11134,47.619668375497795,-122.34844346890101
11137,47.6197980174033,-122.340573198981
11138,47.619624982446496,-122.340473473816
11397,47.612092284548496,-122.34371698977101
11398,47.6119650120001,-122.343612296049
11590,47.60816450661189,-122.32769820491
11594,47.6085703570321,-122.326743085088
11598,47.6095789320169,-122.324347129588
11665,47.605566382697496,-122.33199016783101
11669,47.6080055614081,-122.326112813665
11670,47.6078738341824,-122.32613495429001
11673,47.6089822537097,-122.32377810298401
11674,47.6088663348324,-122.323762383024
11717,47.5996092147774,-122.32517131483101
11718,47.599565104250196,-122.324936379508
11766,47.624484240158594,-122.355022416059
11770,47.624472986140496,-122.35358127842501
11778,47.624456537000896,-122.337697398143
11782,47.624459945034005,-122.33639725619001
11785,47.6243331505853,-122.331426769849
11786,47.624207487730395,-122.33125630710401
11865,47.6088328917819,-122.323266671723
11866,47.608620553741495,-122.322844222119
11869,47.609433139237794,-122.32380559040901
11870,47.609563538569695,-122.323662651137
11873,47.610095587238,-122.32441122346302
11874,47.6103888376521,-122.32443630434202
11878,47.614476592885495,-122.328190247083
11881,47.61915559631724,-122.33310656017599
11882,47.6188608812258,-122.33284532988701
12034,47.59420872379369,-122.333104161319
12237,47.602353828190196,-122.3351352394605
12238,47.6027996707538,-122.335208798
12282,47.619156945657494,-122.356654477672
12285,47.62263002046885,-122.3568264592225
12286,47.622709997367394,-122.35662305998599
12289,47.624991672402295,-122.35682782447151
12290,47.625034536102994,-122.35658418868101
12537,47.623288807699005,-122.341414792617
12538,47.623148082018,-122.34191315659201
12541,47.623277965129795,-122.33775140028101
12542,47.6231353305785,-122.33773030763402
12545,47.6232753195509,-122.335015626216
12546,47.6231291005654,-122.33543798496801
12549,47.6231954453438,-122.33359153062901
12550,47.6230553490888,-122.333530234966
12601,47.676818579602795,-122.31747834452301
12673,47.6255165199688,-122.35351240471302
12682,47.625060576782296,-122.33322335610801
12685,47.6251661625637,-122.329752926219
12765,47.6055280065332,-122.339167245172
