element_key,parking_category,total_nopark,total_zones,parking_spaces,total_spaces
82781,Unrestricted Parking,0,0,7,7
57449,Unrestricted Parking,0,0,120,120
29802,Unrestricted Parking,0,0,25,25
53157,Unrestricted Parking,0,0,30,30
52093,Unrestricted Parking,0,0,55,55
9849,Unrestricted Parking,0,0,4,4
7077,Unrestricted Parking,0,0,15,15
2874,Unrestricted Parking,0,0,10,10
46534,Unrestricted Parking,0,0,25,25
86469,Unrestricted Parking,0,0,23,23
23061,Unrestricted Parking,0,0,12,12
67778,Unrestricted Parking,0,0,10,10
74082,Unrestricted Parking,0,0,4,4
59185,Unrestricted Parking,0,0,9,9
74634,Unrestricted Parking,0,0,5,5
47838,Unrestricted Parking,0,0,30,30
19738,Unrestricted Parking,0,0,14,14
87970,Unrestricted Parking,0,0,5,5
23545,Unrestricted Parking,0,0,1,1
56837,Unrestricted Parking,0,0,5,5
16825,Unrestricted Parking,0,0,12,12
42461,Unrestricted Parking,0,0,9,9
16758,Unrestricted Parking,0,0,9,9
1693,Unrestricted Parking,0,0,6,6
21110,Unrestricted Parking,0,0,10,10
51714,Unrestricted Parking,0,0,26,26
57482,Unrestricted Parking,0,0,9,9
30506,Unrestricted Parking,0,0,4,4
121444,Unrestricted Parking,0,0,20,20
43230,Unrestricted Parking,0,0,5,5
52238,Unrestricted Parking,0,0,12,12
