element_key,parking_category,total_nopark,total_zones,parking_spaces,total_spaces
11358,Unrestricted Parking,0,0,12,12
6534,Unrestricted Parking,0,0,8,8
7285,Unrestricted Parking,0,0,11,11
58765,Unrestricted Parking,0,0,5,5
27577,Unrestricted Parking,0,0,26,26
134701,Unrestricted Parking,0,0,10,10
48286,Unrestricted Parking,0,0,27,27
75049,Unrestricted Parking,0,0,17,17
42002,Unrestricted Parking,0,0,2,2
84426,Unrestricted Parking,0,0,26,26
25981,Unrestricted Parking,0,0,32,32
61905,Unrestricted Parking,0,0,11,11
41677,Unrestricted Parking,0,0,4,4
66066,Unrestricted Parking,0,0,11,11
10086,Unrestricted Parking,0,0,25,25
28325,Unrestricted Parking,0,0,9,9
83042,Unrestricted Parking,0,0,9,9
66025,Unrestricted Parking,0,0,12,12
51178,Unrestricted Parking,0,0,5,5
83318,Unrestricted Parking,0,0,6,6
41886,Unrestricted Parking,0,0,1,1
53457,Unrestricted Parking,0,0,16,16
36649,Unrestricted Parking,0,0,7,7
3666,Unrestricted Parking,0,0,25,25
16206,Unrestricted Parking,0,0,12,12
61433,Unrestricted Parking,0,0,1,1
121011,Unrestricted Parking,0,0,3,3
58038,Unrestricted Parking,0,0,16,16
43826,Unrestricted Parking,0,0,26,26
69857,Unrestricted Parking,0,0,12,12
61490,Unrestricted Parking,0,0,6,6
18314,Unrestricted Parking,0,0,12,12
13394,Unrestricted Parking,0,0,25,25
26886,Unrestricted Parking,0,0,31,31
55489,Unrestricted Parking,0,0,12,12
55174,Unrestricted Parking,0,0,10,10
38714,Unrestricted Parking,0,0,26,26
61569,Unrestricted Parking,0,0,7,7
32697,Unrestricted Parking,0,0,20,20
50478,Unrestricted Parking,0,0,15,15
75033,Unrestricted Parking,0,0,10,10
3946,Unrestricted Parking,0,0,25,25
84794,Unrestricted Parking,0,0,1,1
41958,Unrestricted Parking,0,0,8,8
46445,Unrestricted Parking,0,0,10,10
75382,Unrestricted Parking,0,0,20,20
124962,Unrestricted Parking,0,0,28,28
20694,Unrestricted Parking,0,0,4,4
60709,Unrestricted Parking,0,0,11,11
50166,Unrestricted Parking,0,0,25,25
41205,Unrestricted Parking,0,0,26,26
89465,Unrestricted Parking,0,0,27,27
11362,Unrestricted Parking,0,0,2,2
56938,Unrestricted Parking,0,0,9,9
24994,Unrestricted Parking,0,0,5,5
1777,Unrestricted Parking,0,0,9,9
90025,Unrestricted Parking,0,0,12,12
67109,Unrestricted Parking,0,0,12,12
13418,Unrestricted Parking,0,0,12,12
73977,Unrestricted Parking,0,0,10,10
55566,Unrestricted Parking,0,0,15,15
44305,Unrestricted Parking,0,0,10,10
13237,Unrestricted Parking,0,0,9,9
67878,Unrestricted Parking,0,0,12,12
79834,Unrestricted Parking,0,0,9,9
61549,Unrestricted Parking,0,0,15,15
19765,Unrestricted Parking,0,0,10,10
51702,Unrestricted Parking,0,0,26,26
71546,Unrestricted Parking,0,0,12,12
5773,Unrestricted Parking,0,0,25,25
125175,Unrestricted Parking,0,0,30,30
6489,Unrestricted Parking,0,0,26,26
3161,Unrestricted Parking,0,0,26,26
22614,Unrestricted Parking,0,0,6,6
63393,Unrestricted Parking,0,0,12,12
17322,Unrestricted Parking,0,0,10,10
131882,Unrestricted Parking,0,0,1,1
62829,Unrestricted Parking,0,0,12,12
50025,Unrestricted Parking,0,0,31,31
87045,Unrestricted Parking,0,0,9,9
52365,Unrestricted Parking,0,0,10,10
27786,Unrestricted Parking,0,0,33,33
12130,Unrestricted Parking,0,0,9,9
67809,Unrestricted Parking,0,0,5,5
65782,Unrestricted Parking,0,0,21,21
86598,Unrestricted Parking,0,0,11,11
27785,Unrestricted Parking,0,0,33,33
37597,Unrestricted Parking,0,0,12,12
17482,Unrestricted Parking,0,0,4,4
73198,Unrestricted Parking,0,0,6,6
64213,Unrestricted Parking,0,0,14,14
49302,Unrestricted Parking,0,0,16,16
64245,Unrestricted Parking,0,0,12,12
46093,Unrestricted Parking,0,0,7,7
77789,Unrestricted Parking,0,0,17,17
57326,Unrestricted Parking,0,0,25,25
44353,Unrestricted Parking,0,0,10,10
38689,Unrestricted Parking,0,0,6,6
54801,Unrestricted Parking,0,0,16,16
77029,Unrestricted Parking,0,0,23,23
25477,Unrestricted Parking,0,0,22,22
8574,Unrestricted Parking,0,0,25,25
55910,Unrestricted Parking,0,0,7,7
20125,Unrestricted Parking,0,0,10,10
128341,Unrestricted Parking,0,0,16,16
42730,Unrestricted Parking,0,0,11,11
21189,Unrestricted Parking,0,0,29,29
42394,Unrestricted Parking,0,0,6,6
6829,Unrestricted Parking,0,0,13,13
82181,Unrestricted Parking,0,0,12,12
52162,Unrestricted Parking,0,0,13,13
64810,Unrestricted Parking,0,0,12,12
72845,Unrestricted Parking,0,0,8,8
63513,Unrestricted Parking,0,0,9,9
65858,Unrestricted Parking,0,0,9,9
74862,Unrestricted Parking,0,0,48,48
66642,Unrestricted Parking,0,0,10,10
121982,Unrestricted Parking,0,0,2,2
27506,Unrestricted Parking,0,0,16,16
60441,Unrestricted Parking,0,0,12,12
59462,Unrestricted Parking,0,0,12,12
55421,Unrestricted Parking,0,0,33,33
80721,Unrestricted Parking,0,0,4,4
46382,Unrestricted Parking,0,0,10,10
57966,Unrestricted Parking,0,0,3,3
72038,Unrestricted Parking,0,0,16,16
87805,Unrestricted Parking,0,0,5,5
75509,Unrestricted Parking,0,0,25,25
46517,Unrestricted Parking,0,0,25,25
17938,Unrestricted Parking,0,0,26,26
11533,Unrestricted Parking,0,0,5,5
61642,Unrestricted Parking,0,0,19,19
67925,Unrestricted Parking,0,0,9,9
45333,Unrestricted Parking,0,0,11,11
78205,Unrestricted Parking,0,0,25,25
51134,Unrestricted Parking,0,0,13,13
2533,Unrestricted Parking,0,0,25,25
5785,Unrestricted Parking,0,0,26,26
48601,Unrestricted Parking,0,0,27,27
41338,Unrestricted Parking,0,0,9,9
54941,Unrestricted Parking,0,0,24,24
74065,Unrestricted Parking,0,0,17,17
4194,Unrestricted Parking,0,0,22,22
40138,Unrestricted Parking,0,0,4,4
120218,No Parking Allowed,0,0,0,0
6593,Unrestricted Parking,0,0,8,8
63866,Unrestricted Parking,0,0,10,10
20633,Unrestricted Parking,0,0,8,8
33306,Unrestricted Parking,0,0,10,10
16962,Unrestricted Parking,0,0,9,9
22681,Unrestricted Parking,0,0,24,24
9181,Unrestricted Parking,0,0,26,26
62189,Unrestricted Parking,0,0,10,10
72573,Unrestricted Parking,0,0,12,12
89666,Unrestricted Parking,0,0,10,10
83566,Unrestricted Parking,0,0,14,14
42285,Unrestricted Parking,0,0,10,10
45798,Unrestricted Parking,0,0,12,12
33346,Unrestricted Parking,0,0,19,19
21566,Unrestricted Parking,0,0,5,5
38406,Unrestricted Parking,0,0,9,9
41509,Unrestricted Parking,0,0,4,4
68694,Unrestricted Parking,0,0,10,10
72058,Unrestricted Parking,0,0,26,26
62349,Unrestricted Parking,0,0,6,6
74825,Unrestricted Parking,0,0,39,39
84002,Unrestricted Parking,0,0,5,5
37105,Unrestricted Parking,0,0,9,9
2485,Unrestricted Parking,0,0,2,2
47782,Unrestricted Parking,0,0,25,25
6502,Unrestricted Parking,0,0,6,6
122825,Unrestricted Parking,0,0,2,2
69549,Unrestricted Parking,0,0,12,12
49822,Unrestricted Parking,0,0,8,8
131464,Unrestricted Parking,0,0,10,10
3781,Unrestricted Parking,0,0,12,12
41362,Unrestricted Parking,0,0,13,13
78533,Unrestricted Parking,0,0,8,8
74133,No Parking Allowed,0,0,0,0
20585,Unrestricted Parking,0,0,10,10
120396,Unrestricted Parking,0,0,8,8
120751,Unrestricted Parking,0,0,3,3
88381,Unrestricted Parking,0,0,7,7
75901,Unrestricted Parking,0,0,1,1
86750,Unrestricted Parking,0,0,7,7
40406,Unrestricted Parking,0,0,2,2
28022,Unrestricted Parking,0,0,18,18
91526,Unrestricted Parking,0,0,12,12
1446,Unrestricted Parking,0,0,25,25
67361,Unrestricted Parking,0,0,13,13
85354,Unrestricted Parking,0,0,5,5
13665,Unrestricted Parking,0,0,10,10
40473,Unrestricted Parking,0,0,26,26
21789,Unrestricted Parking,0,0,9,9
23769,Unrestricted Parking,0,0,13,13
14313,Unrestricted Parking,0,0,7,7
64361,Unrestricted Parking,0,0,11,11
40589,Unrestricted Parking,0,0,14,14
33641,Unrestricted Parking,0,0,6,6
20829,Unrestricted Parking,0,0,12,12
33449,Unrestricted Parking,0,0,8,8
38561,Unrestricted Parking,0,0,12,12
73653,Unrestricted Parking,0,0,29,29
39214,Unrestricted Parking,0,0,11,11
85542,Unrestricted Parking,0,0,5,5
87849,Unrestricted Parking,0,0,11,11
89138,Unrestricted Parking,0,0,6,6
60761,Unrestricted Parking,0,0,11,11
72282,Unrestricted Parking,0,0,16,16
59922,Unrestricted Parking,0,0,6,6
65017,Unrestricted Parking,0,0,15,15
21277,Unrestricted Parking,0,0,7,7
85818,Unrestricted Parking,0,0,5,5
87457,Unrestricted Parking,0,0,2,2
58993,Unrestricted Parking,0,0,10,10
9229,Unrestricted Parking,0,0,2,2
26090,Unrestricted Parking,0,0,3,3
11562,Unrestricted Parking,0,0,9,9
75506,Unrestricted Parking,0,0,26,26
37858,Unrestricted Parking,0,0,11,11
34730,Unrestricted Parking,0,0,7,7
122628,No Parking Allowed,0,0,0,0
8517,Unrestricted Parking,0,0,8,8
17953,Unrestricted Parking,0,0,12,12
28625,Unrestricted Parking,0,0,10,10
86101,Unrestricted Parking,0,0,12,12
122560,Unrestricted Parking,0,0,5,5
23542,Unrestricted Parking,0,0,6,6
72098,Unrestricted Parking,0,0,4,4
55685,Unrestricted Parking,0,0,13,13
41053,Unrestricted Parking,0,0,10,10
122828,Unrestricted Parking,0,0,8,8
12573,Unrestricted Parking,0,0,3,3
19650,Unrestricted Parking,0,0,10,10
44369,Unrestricted Parking,0,0,11,11
7590,Unrestricted Parking,0,0,25,25
86850,Unrestricted Parking,0,0,25,25
68465,Unrestricted Parking,0,0,17,17
33445,Unrestricted Parking,0,0,2,2
48994,Unrestricted Parking,0,0,22,22
48774,Unrestricted Parking,0,0,10,10
43294,Unrestricted Parking,0,0,19,19
4946,Unrestricted Parking,0,0,12,12
21274,Unrestricted Parking,0,0,8,8
82926,Unrestricted Parking,0,0,17,17
42949,Unrestricted Parking,0,0,3,3
7726,Unrestricted Parking,0,0,11,11
19398,Unrestricted Parking,0,0,6,6
69069,Unrestricted Parking,0,0,25,25
60414,Unrestricted Parking,0,0,12,12
29781,Unrestricted Parking,0,0,8,8
87333,Unrestricted Parking,0,0,12,12
32997,Unrestricted Parking,0,0,22,22
22434,Unrestricted Parking,0,0,5,5
59706,Unrestricted Parking,0,0,2,2
48045,Unrestricted Parking,0,0,25,25
70089,Unrestricted Parking,0,0,5,5
79809,Unrestricted Parking,0,0,7,7
28665,Unrestricted Parking,0,0,13,13
7206,Unrestricted Parking,0,0,26,26
71762,Unrestricted Parking,0,0,31,31
22041,Unrestricted Parking,0,0,5,5
19078,Unrestricted Parking,0,0,10,10
54297,Unrestricted Parking,0,0,12,12
8686,Unrestricted Parking,0,0,10,10
74218,Unrestricted Parking,0,0,4,4
78498,Unrestricted Parking,0,0,25,25
51326,Unrestricted Parking,0,0,28,28
37393,Unrestricted Parking,0,0,11,11
47642,Unrestricted Parking,0,0,10,10
58165,Unrestricted Parking,0,0,6,6
120135,Unrestricted Parking,0,0,8,8
42454,Unrestricted Parking,0,0,8,8
42726,Unrestricted Parking,0,0,6,6
12086,Unrestricted Parking,0,0,12,12
67049,Unrestricted Parking,0,0,7,7
61570,Unrestricted Parking,0,0,7,7
25242,Unrestricted Parking,0,0,10,10
69342,Unrestricted Parking,0,0,10,10
73518,Unrestricted Parking,0,0,13,13
63213,Unrestricted Parking,0,0,7,7
39150,Unrestricted Parking,0,0,11,11
78742,Unrestricted Parking,0,0,4,4
65505,Unrestricted Parking,0,0,11,11
122438,Unrestricted Parking,0,0,2,2
91318,Unrestricted Parking,0,0,12,12
10638,Unrestricted Parking,0,0,11,11
57465,Unrestricted Parking,0,0,9,9
69533,Unrestricted Parking,0,0,27,27
86266,Unrestricted Parking,0,0,12,12
82470,Unrestricted Parking,0,0,5,5
28738,Unrestricted Parking,0,0,18,18
91277,Unrestricted Parking,0,0,12,12
22865,Unrestricted Parking,0,0,13,13
52189,Unrestricted Parking,0,0,9,9
21574,Unrestricted Parking,0,0,7,7
25526,Unrestricted Parking,0,0,25,25
54829,Unrestricted Parking,0,0,20,20
70273,Unrestricted Parking,0,0,31,31
122543,Unrestricted Parking,0,0,2,2
59630,Unrestricted Parking,0,0,12,12
7002,Unrestricted Parking,0,0,25,25
29186,Unrestricted Parking,0,0,5,5
62350,Unrestricted Parking,0,0,6,6
26997,Unrestricted Parking,0,0,9,9
46990,Unrestricted Parking,0,0,12,12
75965,Unrestricted Parking,0,0,25,25
65418,Unrestricted Parking,0,0,9,9
3517,Unrestricted Parking,0,0,17,17
52069,Unrestricted Parking,0,0,17,17
26474,Unrestricted Parking,0,0,11,11
62913,Unrestricted Parking,0,0,26,26
34818,Unrestricted Parking,0,0,25,25
43698,Unrestricted Parking,0,0,12,12
10321,Unrestricted Parking,0,0,5,5
87154,Unrestricted Parking,0,0,21,21
25474,Unrestricted Parking,0,0,9,9
11650,Unrestricted Parking,0,0,24,24
124051,Unrestricted Parking,0,0,17,17
81881,Unrestricted Parking,0,0,12,12
28510,Unrestricted Parking,0,0,7,7
25181,Unrestricted Parking,0,0,5,5
23678,Unrestricted Parking,0,0,9,9
70986,Unrestricted Parking,0,0,26,26
25786,Unrestricted Parking,0,0,13,13
19157,Unrestricted Parking,0,0,12,12
71397,Unrestricted Parking,0,0,16,16
35773,Unrestricted Parking,0,0,10,10
7833,Unrestricted Parking,0,0,13,13
122063,Unrestricted Parking,0,0,1,1
12182,Unrestricted Parking,0,0,25,25
120671,Unrestricted Parking,0,0,5,5
12001,Unrestricted Parking,0,0,25,25
6054,Unrestricted Parking,0,0,20,20
35157,Unrestricted Parking,0,0,9,9
54909,Unrestricted Parking,0,0,24,24
72181,Unrestricted Parking,0,0,1,1
15801,Unrestricted Parking,0,0,31,31
74418,Unrestricted Parking,0,0,11,11
61909,Unrestricted Parking,0,0,12,12
68510,Unrestricted Parking,0,0,12,12
71066,Unrestricted Parking,0,0,9,9
69801,Unrestricted Parking,0,0,10,10
78054,Unrestricted Parking,0,0,16,16
75237,Unrestricted Parking,0,0,10,10
9758,Unrestricted Parking,0,0,5,5
68425,Unrestricted Parking,0,0,12,12
20130,Unrestricted Parking,0,0,11,11
63314,Unrestricted Parking,0,0,8,8
61621,Unrestricted Parking,0,0,12,12
68209,Unrestricted Parking,0,0,2,2
22058,Unrestricted Parking,0,0,35,35
44393,Unrestricted Parking,0,0,12,12
75338,Unrestricted Parking,0,0,6,6
30489,Unrestricted Parking,0,0,12,12
46673,Unrestricted Parking,0,0,21,21
23490,Unrestricted Parking,0,0,33,33
84485,Unrestricted Parking,0,0,10,10
49097,Unrestricted Parking,0,0,25,25
43262,Unrestricted Parking,0,0,9,9
22421,Unrestricted Parking,0,0,11,11
39070,Unrestricted Parking,0,0,17,17
15589,Unrestricted Parking,0,0,11,11
39190,Unrestricted Parking,0,0,8,8
49933,Unrestricted Parking,0,0,27,27
86949,Unrestricted Parking,0,0,12,12
6010,Unrestricted Parking,0,0,22,22
34289,Unrestricted Parking,0,0,3,3
67766,Unrestricted Parking,0,0,6,6
50230,Unrestricted Parking,0,0,17,17
65513,Unrestricted Parking,0,0,7,7
65618,Unrestricted Parking,0,0,11,11
49098,Unrestricted Parking,0,0,25,25
1069,Unrestricted Parking,0,0,17,17
83490,Unrestricted Parking,0,0,14,14
53601,Unrestricted Parking,0,0,12,12
31634,Unrestricted Parking,0,0,11,11
52953,Unrestricted Parking,0,0,28,28
78769,Unrestricted Parking,0,0,11,11
30441,Unrestricted Parking,0,0,9,9
54981,Unrestricted Parking,0,0,7,7
67434,Unrestricted Parking,0,0,13,13
67497,Unrestricted Parking,0,0,13,13
37646,Unrestricted Parking,0,0,3,3
50694,Unrestricted Parking,0,0,7,7
90241,Unrestricted Parking,0,0,5,5
79829,Unrestricted Parking,0,0,9,9
22565,Unrestricted Parking,0,0,7,7
43313,Unrestricted Parking,0,0,24,24
17678,Unrestricted Parking,0,0,7,7
17833,Unrestricted Parking,0,0,6,6
129212,Unrestricted Parking,0,0,95,95
65742,Unrestricted Parking,0,0,11,11
29909,Unrestricted Parking,0,0,25,25
1186,Unrestricted Parking,0,0,25,25
45897,Unrestricted Parking,0,0,2,2
42697,Unrestricted Parking,0,0,3,3
28774,Unrestricted Parking,0,0,4,4
78921,Unrestricted Parking,0,0,11,11
72174,Unrestricted Parking,0,0,25,25
44174,Unrestricted Parking,0,0,21,21
67849,Unrestricted Parking,0,0,26,26
5013,Unrestricted Parking,0,0,7,7
71929,Unrestricted Parking,0,0,25,25
90722,Unrestricted Parking,0,0,6,6
46185,Unrestricted Parking,0,0,11,11
68189,Unrestricted Parking,0,0,12,12
79977,Unrestricted Parking,0,0,11,11
6294,Unrestricted Parking,0,0,25,25
2525,Unrestricted Parking,0,0,31,31
88049,Unrestricted Parking,0,0,15,15
34554,Unrestricted Parking,0,0,23,23
80757,Unrestricted Parking,0,0,171,171
87406,Unrestricted Parking,0,0,11,11
69198,Unrestricted Parking,0,0,20,20
51854,Unrestricted Parking,0,0,12,12
121378,Unrestricted Parking,0,0,19,19
13989,Unrestricted Parking,0,0,12,12
58141,Unrestricted Parking,0,0,36,36
73077,Unrestricted Parking,0,0,25,25
28634,Unrestricted Parking,0,0,10,10
8278,Unrestricted Parking,0,0,15,15
87874,Unrestricted Parking,0,0,8,8
42157,Unrestricted Parking,0,0,4,4
31350,Unrestricted Parking,0,0,12,12
4361,Unrestricted Parking,0,0,13,13
29762,Unrestricted Parking,0,0,7,7
85405,Unrestricted Parking,0,0,10,10
26970,Unrestricted Parking,0,0,13,13
4505,Unrestricted Parking,0,0,10,10
15741,Unrestricted Parking,0,0,13,13
27697,Unrestricted Parking,0,0,1,1
9502,Unrestricted Parking,0,0,2,2
90081,Unrestricted Parking,0,0,12,12
122620,Unrestricted Parking,0,0,4,4
5686,Unrestricted Parking,0,0,25,25
52981,Unrestricted Parking,0,0,12,12
29298,Unrestricted Parking,0,0,17,17
45034,Unrestricted Parking,0,0,10,10
33950,Unrestricted Parking,0,0,16,16
27946,Unrestricted Parking,0,0,16,16
40066,Unrestricted Parking,0,0,9,9
48250,Unrestricted Parking,0,0,9,9
52229,Unrestricted Parking,0,0,12,12
90609,Unrestricted Parking,0,0,12,12
58166,Unrestricted Parking,0,0,6,6
69786,Unrestricted Parking,0,0,26,26
80778,Unrestricted Parking,0,0,15,15
29382,Unrestricted Parking,0,0,12,12
62794,Unrestricted Parking,0,0,2,2
70373,Unrestricted Parking,0,0,12,12
68509,Unrestricted Parking,0,0,12,12
48158,Unrestricted Parking,0,0,17,17
122730,Unrestricted Parking,0,0,8,8
122823,Unrestricted Parking,0,0,2,2
9258,Unrestricted Parking,0,0,6,6
47294,Unrestricted Parking,0,0,5,5
127161,Unrestricted Parking,0,0,47,47
42758,Unrestricted Parking,0,0,25,25
75505,Unrestricted Parking,0,0,26,26
24009,Unrestricted Parking,0,0,4,4
86926,Unrestricted Parking,0,0,12,12
62521,Unrestricted Parking,0,0,10,10
77493,Unrestricted Parking,0,0,16,16
52469,Unrestricted Parking,0,0,12,12
68177,Unrestricted Parking,0,0,13,13
90837,Unrestricted Parking,0,0,7,7
53089,Unrestricted Parking,0,0,15,15
72114,Unrestricted Parking,0,0,7,7
74878,Unrestricted Parking,0,0,16,16
63994,Unrestricted Parking,0,0,9,9
43406,Unrestricted Parking,0,0,24,24
67033,Unrestricted Parking,0,0,11,11
21753,Unrestricted Parking,0,0,11,11
84985,Unrestricted Parking,0,0,25,25
41809,Unrestricted Parking,0,0,11,11
22225,Unrestricted Parking,0,0,12,12
7242,Unrestricted Parking,0,0,12,12
25873,Unrestricted Parking,0,0,25,25
121475,Unrestricted Parking,0,0,8,8
66598,Unrestricted Parking,0,0,9,9
5921,Unrestricted Parking,0,0,10,10
70246,Unrestricted Parking,0,0,25,25
86993,Unrestricted Parking,0,0,9,9
19073,Unrestricted Parking,0,0,10,10
28434,Unrestricted Parking,0,0,12,12
121094,Unrestricted Parking,0,0,3,3
34326,Unrestricted Parking,0,0,52,52
6701,Unrestricted Parking,0,0,12,12
4221,Unrestricted Parking,0,0,9,9
43797,Unrestricted Parking,0,0,12,12
11449,Unrestricted Parking,0,0,10,10
90966,Unrestricted Parking,0,0,12,12
24254,Unrestricted Parking,0,0,3,3
37966,Unrestricted Parking,0,0,4,4
1177,Unrestricted Parking,0,0,10,10
42238,Unrestricted Parking,0,0,9,9
46750,Unrestricted Parking,0,0,18,18
2830,Unrestricted Parking,0,0,13,13
51614,Unrestricted Parking,0,0,11,11
120457,Unrestricted Parking,0,0,10,10
56610,Unrestricted Parking,0,0,8,8
90333,Unrestricted Parking,0,0,12,12
121052,Unrestricted Parking,0,0,2,2
51729,Unrestricted Parking,0,0,4,4
3490,Unrestricted Parking,0,0,21,21
38278,Unrestricted Parking,0,0,10,10
87441,Unrestricted Parking,0,0,15,15
45066,Unrestricted Parking,0,0,46,46
48330,Unrestricted Parking,0,0,10,10
5858,Unrestricted Parking,0,0,10,10
63874,Unrestricted Parking,0,0,26,26
43902,Unrestricted Parking,0,0,4,4
57061,Unrestricted Parking,0,0,26,26
134802,Unrestricted Parking,0,0,16,16
67901,Unrestricted Parking,0,0,11,11
60025,Unrestricted Parking,0,0,12,12
22081,Unrestricted Parking,0,0,12,12
1849,Unrestricted Parking,0,0,27,27
75745,Unrestricted Parking,0,0,17,17
75793,Unrestricted Parking,0,0,11,11
6614,Unrestricted Parking,0,0,26,26
18709,Unrestricted Parking,0,0,8,8
20522,Unrestricted Parking,0,0,9,9
76009,Unrestricted Parking,0,0,8,8
82145,Unrestricted Parking,0,0,11,11
121355,Unrestricted Parking,0,0,10,10
42178,Unrestricted Parking,0,0,9,9
122464,Unrestricted Parking,0,0,1,1
40434,Unrestricted Parking,0,0,25,25
10509,Unrestricted Parking,0,0,31,31
67222,Unrestricted Parking,0,0,9,9
19829,Unrestricted Parking,0,0,5,5
9757,Unrestricted Parking,0,0,5,5
50077,Unrestricted Parking,0,0,18,18
73621,Unrestricted Parking,0,0,5,5
82510,Unrestricted Parking,0,0,10,10
5533,Unrestricted Parking,0,0,25,25
44509,Unrestricted Parking,0,0,10,10
135221,Unrestricted Parking,0,0,7,7
132001,Unrestricted Parking,0,0,8,8
27813,Unrestricted Parking,0,0,25,25
35753,Unrestricted Parking,0,0,4,4
122525,Unrestricted Parking,0,0,17,17
58554,Unrestricted Parking,0,0,10,10
81501,Unrestricted Parking,0,0,2,2
45249,Unrestricted Parking,0,0,9,9
62865,Unrestricted Parking,0,0,4,4
48653,Unrestricted Parking,0,0,25,25
71758,Unrestricted Parking,0,0,26,26
64837,Unrestricted Parking,0,0,9,9
43185,Unrestricted Parking,0,0,11,11
53005,Unrestricted Parking,0,0,17,17
75309,Unrestricted Parking,0,0,9,9
87845,Unrestricted Parking,0,0,11,11
3802,Unrestricted Parking,0,0,8,8
30666,Unrestricted Parking,0,0,7,7
72113,Unrestricted Parking,0,0,7,7
62289,Unrestricted Parking,0,0,13,13
86190,Unrestricted Parking,0,0,17,17
45213,Unrestricted Parking,0,0,8,8
85101,Unrestricted Parking,0,0,9,9
27242,Unrestricted Parking,0,0,10,10
8477,Unrestricted Parking,0,0,25,25
122541,Unrestricted Parking,0,0,5,5
76309,Unrestricted Parking,0,0,10,10
122770,Unrestricted Parking,0,0,11,11
28886,Unrestricted Parking,0,0,25,25
58625,Unrestricted Parking,0,0,11,11
18954,Unrestricted Parking,0,0,9,9
122987,Unrestricted Parking,0,0,11,11
41945,Unrestricted Parking,0,0,11,11
64426,Unrestricted Parking,0,0,6,6
70262,Unrestricted Parking,0,0,27,27
20270,Unrestricted Parking,0,0,12,12
68030,Unrestricted Parking,0,0,10,10
122836,Unrestricted Parking,0,0,1,1
43238,Unrestricted Parking,0,0,10,10
2093,Unrestricted Parking,0,0,26,26
82453,Unrestricted Parking,0,0,9,9
53578,Unrestricted Parking,0,0,10,10
26542,Unrestricted Parking,0,0,17,17
29346,Unrestricted Parking,0,0,16,16
122441,Unrestricted Parking,0,0,8,8
90453,Unrestricted Parking,0,0,12,12
39270,Unrestricted Parking,0,0,16,16
7553,Unrestricted Parking,0,0,25,25
120702,Unrestricted Parking,0,0,2,2
41981,Unrestricted Parking,0,0,7,7
73517,Unrestricted Parking,0,0,13,13
41166,Unrestricted Parking,0,0,9,9
45069,Unrestricted Parking,0,0,6,6
37017,Unrestricted Parking,0,0,10,10
37310,Unrestricted Parking,0,0,10,10
28001,Unrestricted Parking,0,0,10,10
79173,Unrestricted Parking,0,0,32,32
19653,Unrestricted Parking,0,0,11,11
22461,Unrestricted Parking,0,0,6,6
25570,Unrestricted Parking,0,0,4,4
29953,Unrestricted Parking,0,0,16,16
11734,Unrestricted Parking,0,0,15,15
51738,Unrestricted Parking,0,0,10,10
86777,Unrestricted Parking,0,0,10,10
84673,Unrestricted Parking,0,0,10,10
49994,Unrestricted Parking,0,0,10,10
121000,Unrestricted Parking,0,0,1,1
10009,Unrestricted Parking,0,0,8,8
18870,Unrestricted Parking,0,0,10,10
122425,Unrestricted Parking,0,0,13,13
1598,Unrestricted Parking,0,0,5,5
48009,Unrestricted Parking,0,0,12,12
42082,Unrestricted Parking,0,0,12,12
29941,Unrestricted Parking,0,0,33,33
21473,Unrestricted Parking,0,0,6,6
30465,Unrestricted Parking,0,0,1,1
121389,Unrestricted Parking,0,0,6,6
72733,Unrestricted Parking,0,0,16,16
52798,Unrestricted Parking,0,0,10,10
41446,Unrestricted Parking,0,0,10,10
74301,Unrestricted Parking,0,0,17,17
74494,Unrestricted Parking,0,0,25,25
46141,Unrestricted Parking,0,0,5,5
57610,Unrestricted Parking,0,0,35,35
90330,Unrestricted Parking,0,0,12,12
91682,Unrestricted Parking,0,0,7,7
76221,Unrestricted Parking,0,0,10,10
22566,Unrestricted Parking,0,0,7,7
68954,Unrestricted Parking,0,0,5,5
37097,Unrestricted Parking,0,0,12,12
16642,Unrestricted Parking,0,0,12,12
19118,Unrestricted Parking,0,0,10,10
89778,Unrestricted Parking,0,0,19,19
32438,Unrestricted Parking,0,0,17,17
131841,Unrestricted Parking,0,0,1,1
47950,Unrestricted Parking,0,0,16,16
66758,Unrestricted Parking,0,0,6,6
69498,Unrestricted Parking,0,0,26,26
12274,Unrestricted Parking,0,0,5,5
69825,Unrestricted Parking,0,0,9,9
88245,Unrestricted Parking,0,0,3,3
40133,Unrestricted Parking,0,0,10,10
88169,Unrestricted Parking,0,0,6,6
10922,Unrestricted Parking,0,0,11,11
71693,Unrestricted Parking,0,0,11,11
44442,Unrestricted Parking,0,0,25,25
84206,Unrestricted Parking,0,0,9,9
125551,Unrestricted Parking,0,0,19,19
69577,Unrestricted Parking,0,0,37,37
18245,Unrestricted Parking,0,0,8,8
26357,Unrestricted Parking,0,0,7,7
51673,Unrestricted Parking,0,0,25,25
51809,Unrestricted Parking,0,0,10,10
40877,Unrestricted Parking,0,0,11,11
74513,Unrestricted Parking,0,0,40,40
60641,Unrestricted Parking,0,0,1,1
67561,Unrestricted Parking,0,0,7,7
48786,Unrestricted Parking,0,0,26,26
28494,Unrestricted Parking,0,0,25,25
72901,Unrestricted Parking,0,0,12,12
49241,Unrestricted Parking,0,0,15,15
36885,Unrestricted Parking,0,0,1,1
122078,Unrestricted Parking,0,0,10,10
14097,Unrestricted Parking,0,0,16,16
43009,Unrestricted Parking,0,0,14,14
25065,Unrestricted Parking,0,0,3,3
