element_key,latitude,longitude,poi,baseball,tennis,basket,soccer
1601,47.66034280015265,-122.3155686665325,0,0,0,0,0
1602,47.660450216315596,-122.31535479524469,0,0,0,0,0
1821,47.6147470972343,-122.315609106006,1,0,0,0,0
2054,47.614914643762795,-122.312683566064,0,0,0,0,0
2085,47.6589503975327,-122.312119097562,0,0,0,0,0
2089,47.663912743476295,-122.31205014035768,0,0,0,0,0
2090,47.66397342214083,-122.311858444471,0,0,0,0,0
2781,47.6156307617965,-122.34854073021098,0,0,0,0,0
2782,47.61569921119921,-122.348280734561,0,0,0,0,0
2785,47.616691368727395,-122.350346317057,0,0,0,0,0
2786,47.6168509523425,-122.350209698444,0,0,0,0,0
2789,47.617802191796294,-122.35225586112,0,0,0,0,0
2790,47.6180099721782,-122.352169950963,0,0,0,0,0
2793,47.6203102546865,-122.352955500387,1,0,0,0,0
2797,47.62486590462629,-122.352919492045,0,0,0,0,0
2798,47.62498797343861,-122.35265083028202,0,0,0,0,0
2921,47.6004753037031,-122.331714398121,1,0,0,0,0
2922,47.60057332750879,-122.33142236615,1,0,0,0,0
2925,47.59942482752211,-122.33171840616102,1,0,0,0,0
2926,47.5994541650156,-122.331430477071,1,0,0,0,0
2986,47.599729825181896,-122.32999322310602,1,0,0,0,0
3081,47.668883761680405,-122.38223868463899,1,0,0,0,0
3082,47.6690528088099,-122.382018789393,1,0,0,0,0
3337,47.667183722158796,-122.384844660637,1,0,0,0,0
3338,47.666773056633,-122.384643349528,0,0,0,0,0
3341,47.6691238381155,-122.384865623326,1,0,0,0,0
3342,47.669107028815404,-122.384622167754,1,0,0,0,0
4433,47.612932329765606,-122.341974738652,0,0,0,0,0
4434,47.6129927585997,-122.341695083241,0,0,0,0,0
4437,47.61621643967779,-122.34752935857401,0,0,0,0,0
4438,47.616400230059206,-122.347458339466,0,0,0,0,0
4441,47.6178531492896,-122.35030436115,0,0,0,0,0
4442,47.6179919075935,-122.350157161399,0,0,0,0,0
4445,47.6252744116637,-122.351599202309,0,0,0,0,0
6166,47.601993446703794,-122.329007535213,0,0,0,0,0
6197,47.617552542528,-122.347837723461,0,0,0,0,0
6198,47.6176448791587,-122.34756269446,0,0,0,0,0
7246,47.6054089588108,-122.330623842682,0,0,0,0,0
7257,47.614036169414995,-122.339875124329,0,0,0,0,0
7258,47.614169537728,-122.339718817904,0,0,0,0,0
7261,47.6148254309933,-122.341240930159,0,0,0,0,0
7262,47.614963962021896,-122.341056394821,0,0,0,0,0
7265,47.61813966404571,-122.346816883521,0,0,0,0,0
7397,47.5971253968412,-122.32779119716,0,0,0,0,0
7398,47.5968672918765,-122.32756588354201,0,0,0,0,0
7989,47.60961532921571,-122.33318811667299,0,0,0,0,0
7990,47.6096909579099,-122.33300941972502,0,0,0,0,0
7997,47.6140624196271,-122.337961494436,0,0,0,0,0
7998,47.61429008934601,-122.33794608945,0,0,0,0,0
8001,47.614662783482196,-122.33899497122,0,0,0,0,0
8002,47.6150805198137,-122.339257955735,0,0,0,0,0
8005,47.6155644863128,-122.340537862283,0,0,0,0,0
8097,47.5996495190193,-122.32646808768801,1,0,0,0,0
8098,47.5996053659521,-122.326249394508,1,0,0,0,0
8101,47.5963075115004,-122.32647325382601,0,0,0,0,0
8102,47.596241553926106,-122.326270867465,0,0,0,0,0
8242,47.6058775222148,-122.327975318221,0,0,0,0,0
8249,47.614734575220204,-122.33707591628,0,0,0,0,0
8301,47.597951059425895,-122.32387678783,1,0,0,0,0
8302,47.597928808629796,-122.323641788409,1,0,0,0,0
8305,47.597172389505005,-122.323896000473,0,0,0,0,0
8306,47.597091271807095,-122.32362073188801,0,0,0,0,0
8369,47.6055397718641,-122.3263950127,1,0,0,0,0
8370,47.605483959832604,-122.326091315122,1,0,0,0,0
8373,47.6061896792134,-122.326975424531,0,0,0,0,0
8374,47.606201732339294,-122.32676238832701,0,0,0,0,0
8377,47.606846221824505,-122.32757134935899,0,0,0,0,0
8378,47.6068954245445,-122.327392320338,0,0,0,0,0
8382,47.6076630391445,-122.32809902878599,0,0,0,0,0
8389,47.614466300885105,-122.334780265319,0,0,0,0,0
8393,47.617381337170684,-122.33965461803301,0,0,0,0,0
8394,47.6178104565659,-122.33991840780199,0,0,0,0,0
8397,47.6182223395223,-122.341008904359,0,0,0,0,0
8398,47.6182663150194,-122.34068917428101,0,0,0,0,0
8401,47.623862269164746,-122.34117959469302,0,0,0,0,0
8402,47.623920783011634,-122.34092359598101,0,0,0,0,0
8405,47.6266998371733,-122.341161844879,0,0,0,0,0
8406,47.6267287080204,-122.340885803565,0,0,0,0,0
8541,47.59791060828521,-122.322563581369,1,0,0,0,0
8542,47.5979347822377,-122.32233651072201,1,0,0,0,0
8601,47.605294438139296,-122.324649474931,0,0,0,0,0
8609,47.6064475456813,-122.32569011194799,0,0,0,0,0
8610,47.6067192009961,-122.325686093946,0,0,0,0,0
8614,47.6152746586351,-122.333689955423,0,0,0,0,0
8617,47.6160565037793,-122.335333883494,0,0,0,0,0
8618,47.616215480312995,-122.335294721854,0,0,0,0,0
8622,47.6183341216319,-122.338873308605,0,0,0,0,0
8626,47.6259652478875,-122.339572987073,0,0,0,0,0
8829,47.60412609064011,-122.33890828059201,0,0,0,0,0
8830,47.604164821974706,-122.338661090774,0,0,0,0,0
8837,47.6131781482129,-122.352107361207,0,0,0,0,0
8841,47.61462096554771,-122.354560874945,0,0,0,0,0
8854,47.6042810340229,-122.338341381714,0,0,0,0,0
8858,47.604920597962206,-122.33891058140301,0,0,0,0,0
8870,47.601376430162496,-122.33567879356,1,0,0,0,0
9109,47.6649109975994,-122.381594917026,0,0,0,0,0
9110,47.664914634879395,-122.38128299263599,0,0,0,0,0
9114,47.665367008801496,-122.381815148353,0,0,0,0,0
9141,47.66812919296813,-122.37985649153069,1,0,0,0,0
9142,47.6680473402789,-122.37946936799801,1,0,0,0,0
9145,47.6132993196114,-122.349062428451,0,0,0,0,0
9146,47.6130570380548,-122.349057874657,0,0,0,0,0
9149,47.61656526864781,-122.344864965877,0,0,0,0,0
9150,47.616296467431205,-122.344846368852,0,0,0,0,0
9157,47.618147897990504,-122.355729200035,0,0,0,0,0
9158,47.618033574736394,-122.355510815586,0,0,0,0,0
9277,47.6131372994202,-122.346976666835,0,0,0,0,0
9278,47.612945695233,-122.34692281882099,0,0,0,0,0
9349,47.6117781440717,-122.346420075905,0,0,0,0,0
9353,47.6129376489416,-122.344919519907,1,0,0,0,0
9354,47.6129955916889,-122.34457526436302,1,0,0,0,0
9357,47.614414939495106,-122.343014176921,0,0,0,0,0
9358,47.614107170794895,-122.343132321467,0,0,0,0,0
9393,47.621441158508794,-122.335969879555,0,0,0,0,0
9394,47.6214512035279,-122.33573460729299,0,0,0,0,0
9421,47.610928981061704,-122.32213410754,0,0,0,0,0
9422,47.611126120399895,-122.322075804951,0,0,0,0,0
9461,47.6170726045891,-122.320945433518,1,0,0,0,0
9462,47.61672420850061,-122.3207046752,1,0,0,0,0
9465,47.6178959800954,-122.320962663325,0,0,0,0,0
9469,47.6193761168371,-122.32098616536352,1,0,0,0,0
9470,47.6193642192257,-122.320738623689,1,0,0,0,0
9473,47.62043756985129,-122.32100306243902,0,0,0,0,0
9474,47.62063088280021,-122.32075880952499,0,0,0,0,0
9477,47.6247871664653,-122.32108083468599,0,0,0,0,0
9478,47.62473339464089,-122.320813963534,0,0,0,0,0
9509,47.66247848986476,-122.31433751299969,0,0,0,0,0
9510,47.66240853129013,-122.31413438054402,0,0,0,0,0
9673,47.61497128775311,-122.35185238572201,0,0,0,0,0
9674,47.614720943966596,-122.35185309334702,0,0,0,0,0
9677,47.6161552835169,-122.35034206405199,0,0,0,0,0
9678,47.6160202778429,-122.350150397447,0,0,0,0,0
9697,47.6069349519154,-122.32397919856501,1,0,0,0,0
9698,47.6069502898158,-122.32360327266599,1,0,0,0,0
9702,47.60779135896811,-122.32158782423099,0,0,0,0,0
9721,47.6167157028551,-122.351265225629,0,0,0,0,0
9722,47.61666507392879,-122.350964504738,0,0,0,0,0
9762,47.60266938171479,-122.33618167509701,1,0,0,0,0
9770,47.604774439561396,-122.33114187808799,0,0,0,0,0
10053,47.622469507108704,-122.34254635513099,0,0,0,0,0
10054,47.622656856206596,-122.34220001850402,0,0,0,0,0
10153,47.62145000887249,-122.329243271026,0,0,0,0,0
10157,47.62465429815929,-122.329315258131,0,0,0,0,0
10161,47.62629209185639,-122.329379546222,0,0,0,0,0
10165,47.627416442979296,-122.329384478289,0,0,0,0,0
10202,47.6086389746091,-122.3428556107,0,0,0,0,0
10209,47.612220146017506,-122.348699634013,0,0,0,0,0
10210,47.612667174093396,-122.349110555538,0,0,0,0,0
10213,47.612927879183104,-122.34989599132601,0,0,0,0,0
10214,47.613179576550294,-122.349988864375,0,0,0,0,0
10218,47.614278741555005,-122.351829550905,0,0,0,0,0
10222,47.6153702253348,-122.353688224817,0,0,0,0,0
10277,47.650305815092146,-122.35139817239752,0,0,0,0,0
10278,47.65020149200296,-122.35119585993851,0,0,0,0,0
10281,47.6509667237713,-122.351413727358,1,0,0,0,0
10282,47.650961144582006,-122.35118577803301,1,0,0,0,0
10797,47.6220633457094,-122.333494755477,0,0,0,0,0
10801,47.6220493229163,-122.331121248555,0,0,0,0,0
10869,47.62215184817301,-122.34161110292101,0,0,0,0,0
10870,47.6219609662485,-122.341911584221,0,0,0,0,0
